week_start,BrandMedia_Addressable/Linear_Spends,BrandMedia_ConnectedTV_Spends,BrandMedia_Default_Spends,BrandMedia_Display_Spends,BrandMedia_LiveStreamVideo_Spends,BrandMedia_OOH_Spends,BrandMedia_Radio_Spends,BrandMedia_Social_Spends,BrandMedia_TotalDigitalVideo_Spends,NonPaid_Apps_Leads,NonPaid_Apps_Visits,NonPaid_Direct_Leads,NonPaid_Direct_Visits,NonPaid_Email_Leads,NonPaid_Email_Visits,NonPaid_OtherProperties_Leads,NonPaid_OtherProperties_Visits,NonPaid_SEO_Leads,NonPaid_SEO_Visits,PerformanceMedia_App_Spends,PerformanceMedia_Display_Leads,PerformanceMedia_Display_Spends,PerformanceMedia_Display_Visits,PerformanceMedia_PaidSearch_Leads,PerformanceMedia_PaidSearch_Spends,PerformanceMedia_PaidSearch_Visits,PerformanceMedia_Partner_Leads,PerformanceMedia_Partner_Visits,PerformanceMedia_Partners_Spends,Total_DeseasonalizedMarketplace_Revenue,Total_Marketplace_SeasonalIndex,Total_Total_Visits
1931/12/18,8472.451116,0,0,0,0,0,0,0,0,38460.19355,1858422.613,60817.16129,2375136.903,3725.419355,92530.25806,124967.4194,2145591,19441.16129,1823293.419,120370.9606,34698.60523,537704.3626,614163.3871,92593.94506,888683.2548,461029.7419,16290.09448,195798.9677,402751.1497,7800271.847,0.966538586,7420375.29
2007/1/19,0,0,0,0,0,0,0,0,0,44870.22581,1877749.774,70953.35484,2399972.806,4346.322581,88439.12903,145795.3226,2181153.258,22681.35484,1861732.194,116652.5455,10234.90323,591385.1865,615013.2258,13884.3871,925874.1145,263957.8065,8063.096774,90401.3871,410017.309,7768860.773,0.966538586,7197266.323
2014/1/19,0,0,0,0,0,0,0,0,0,44870.22581,1877749.774,70953.35484,2399972.806,4346.322581,88439.12903,145795.3226,2181153.258,22681.35484,1861732.194,116652.5455,10234.90323,591385.1865,615013.2258,13884.3871,925874.1145,263957.8065,8063.096774,90401.3871,410017.309,7768860.773,0.966538586,7197266.323
2021/1/19,0,0,0,0,0,0,0,0,0,44870.22581,1877749.774,70953.35484,2399972.806,4346.322581,88439.12903,145795.3226,2181153.258,22681.35484,1861732.194,116652.5455,10234.90323,591385.1865,615013.2258,13884.3871,925874.1145,263957.8065,8063.096774,90401.3871,410017.309,7768860.773,0.966538586,7197266.323
2028/1/19,0,0,0,0,0,0,0,0,0,50018.98618,1982276.728,74477.13134,2519127.532,4896.577189,101153.7166,129019.0772,2006735.183,24626.59562,1954218.896,154151.8178,13296.23041,645553.639,915514.3433,20109.00691,1011678.969,428458.6037,7751.0553,87254.11406,365979.7405,7177202.721,1.085155964,7988003.934
2004/2/19,0,0,0,0,0,0,0,0,0,56884,2121646,79175.5,2678000.5,5630.25,118106.5,106650.75,1774177.75,27220.25,2077534.5,204150.8475,17378,717778.2425,1316182.5,28408.5,1126085.443,647793,7335,83057.75,307262.9825,7520601.137,1.085155964,9042320.75
2011/2/19,0,0,0,0,0,0,0,0,0,56884,2121646,79175.5,2678000.5,5630.25,118106.5,106650.75,1774177.75,27220.25,2077534.5,204150.8475,17378,717778.2425,1316182.5,28408.5,1126085.443,647793,7335,83057.75,307262.9825,7520601.137,1.085155964,9042320.75
2018/2/19,0,0,0,0,0,0,0,0,0,56884,2121646,79175.5,2678000.5,5630.25,118106.5,106650.75,1774177.75,27220.25,2077534.5,204150.8475,17378,717778.2425,1316182.5,28408.5,1126085.443,647793,7335,83057.75,307262.9825,7520601.137,1.085155964,9042320.75
2025/2/19,0,0,0,0,0,0,0,0,0,59556.43318,2139766.691,80646.14286,2713099.968,5611.285714,116685.2673,112992.7051,1886298.696,26865.49309,2124130.507,196034.2246,14739.28571,806032.0715,1190725.77,23047.20276,944256.7009,557537.8479,7258.880184,66282.11982,329203.4152,7641589.716,1.015957679,8908228.171
2004/3/19,0,0,0,0,0,0,0,0,0,63119.67742,2163927.613,82607,2759899.258,5586,114790.2903,121448.6452,2035793.29,26392.48387,2186258.516,185212.0606,11221,923703.8435,1023450.129,15898.80645,701818.3787,437197.6452,7157.387097,43914.6129,358457.3255,7119923.071,1.015957679,8729438.065
2011/3/19,0,0,0,0,0,0,0,0,0,63119.67742,2163927.613,82607,2759899.258,5586,114790.2903,121448.6452,2035793.29,26392.48387,2186258.516,185212.0606,11221,923703.8435,1023450.129,15898.80645,701818.3787,437197.6452,7157.387097,43914.6129,358457.3255,7119923.071,1.015957679,8729438.065
2018/3/19,0,0,0,0,0,0,0,0,0,63119.67742,2163927.613,82607,2759899.258,5586,114790.2903,121448.6452,2035793.29,26392.48387,2186258.516,185212.0606,11221,923703.8435,1023450.129,15898.80645,701818.3787,437197.6452,7157.387097,43914.6129,358457.3255,7119923.071,1.015957679,8729438.065
2025/3/19,0,0,0,0,0,0,0,0,0,63119.67742,2163927.613,82607,2759899.258,5586,114790.2903,121448.6452,2035793.29,26392.48387,2186258.516,185212.0606,11221,923703.8435,1023450.129,15898.80645,701818.3787,437197.6452,7157.387097,43914.6129,358457.3255,7119923.071,1.015957679,8729438.065
2001/4/19,0,0,0,0,0,0,0,0,0,60739.7,2109197.533,79759.4,2646638.867,5505.966667,108367.9333,74588.03333,1326594.967,25868.96667,2176783.233,210907.004,14918.63333,748788.3947,970164.0667,21584.96667,602605.3787,585063.9667,12776.86667,64593.2,324861.4833,8045951.364,0.900538162,8660808.8
